question_template_name,question_text_1,question_text_2,question_text_equation,difficulty,answer_1_text,answer_2_text,answer_3_text,answer_1_correct,answer_2_correct,answer_3_correct,answer_1_option,answer_2_option,answer_3_option,answer_1_next_q_template,answer_2_next_q_template,answer_3_next_q_template,answer_1_hint,answer_2_hint,answer_3_hint
equations as constraints,question text 1,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
equations as constraints,question text 2,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,relationships & modeling equations,,,
equations as constraints,question text 3,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
equations as constraints,question text 4,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,Algebraic Manipulation - III,,,,
equations as constraints,question text 5,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
equations as constraints,question text 6,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
graph analysis,question text 7,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
graph analysis,question text 8,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,coordinate plane,relationships & modeling equations,,,,
graph analysis,question text 9,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
graph analysis,question text 10,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
graph analysis,question text 11,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
graph analysis,question text 12,question text 2,,high,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
defining & using slope,question text 13,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
defining & using slope,question text 14,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 15,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 16,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
defining & using slope,question text 17,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 18,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 19,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 20,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
slope intercept form,question text 21,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 22,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
slope intercept form,question text 23,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
slope intercept form,question text 24,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
point slope form,question text 25,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,coordinate plane,,,
point slope form,question text 26,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,Algebraic Manipulation - III,relationships & modeling equations,,,,
point slope form,question text 27,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
point slope form,question text 28,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
point slope form,question text 29,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
point slope form,question text 30,question text 2,,high,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,coordinate plane,,,
systems of equations - substitution,question text 31,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,relationships & modeling equations,,,
systems of equations - substitution,question text 32,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
systems of equations - substitution,question text 33,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,Algebraic Manipulation - III,coordinate plane,,,,
systems of equations - substitution,question text 34,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,Algebraic Manipulation - III,relationships & modeling equations,,,,
systems of equations - substitution,question text 35,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,coordinate plane,relationships & modeling equations,,,,
systems of equations - substitution,question text 36,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
systems of equations - elimination,question text 37,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
systems of equations - elimination,question text 38,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,coordinate plane,,,
systems of equations - elimination,question text 39,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
systems of equations - elimination,question text 40,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,Algebraic Manipulation - III,,,
systems of equations - elimination,question text 41,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,Algebraic Manipulation - III,,,,
systems of equations - elimination,question text 42,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
systems of equations - # of solutions,question text 43,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
systems of equations - # of solutions,question text 44,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,Algebraic Manipulation - III,,,
systems of equations - # of solutions,question text 45,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,Algebraic Manipulation - III,,,
systems of equations - # of solutions,question text 46,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
systems of equations - # of solutions,question text 47,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,Algebraic Manipulation - III,,,
systems of equations - # of solutions,question text 48,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
Algebraic Manipulation - III,question text 49,question text 2,,low,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - II,,,,,
Algebraic Manipulation - III,question text 50,question text 2,,low,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - II,,,,
Algebraic Manipulation - III,question text 51,question text 2,,medium,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - II,,,,,
Algebraic Manipulation - III,question text 52,question text 2,,medium,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - II,,,,
Algebraic Manipulation - III,question text 53,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - II,,,,
Algebraic Manipulation - III,question text 54,question text 2,,high,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - II,,,,,
Algebraic Manipulation - II,question text 55,question text 2,,low,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - I,,,,,
Algebraic Manipulation - II,question text 56,question text 2,,low,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - I,,,,
Algebraic Manipulation - II,question text 57,question text 2,,medium,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - I,,,,,
Algebraic Manipulation - II,question text 58,question text 2,,medium,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - I,,,,
Algebraic Manipulation - II,question text 59,question text 2,,high,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,Algebraic Manipulation - I,,,,,
Algebraic Manipulation - II,question text 60,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,Algebraic Manipulation - I,,,,
Algebraic Manipulation - I,question text 61,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,exit,,exit,,,
Algebraic Manipulation - I,question text 62,question text 2,,low,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
Algebraic Manipulation - I,question text 63,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,exit,,exit,,,
Algebraic Manipulation - I,question text 64,question text 2,,medium,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
Algebraic Manipulation - I,question text 65,question text 2,,high,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
Algebraic Manipulation - I,question text 66,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,exit,exit,,,,
relationships & modeling equations,question text 67,question text 2,,low,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
relationships & modeling equations,question text 68,question text 2,,low,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
relationships & modeling equations,question text 69,question text 2,,medium,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
relationships & modeling equations,question text 70,question text 2,,medium,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
relationships & modeling equations,question text 71,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
relationships & modeling equations,question text 72,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
coordinate plane,question text 73,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,number line,ordered pairs,,,
coordinate plane,question text 74,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,number line,,ordered pairs,,,
coordinate plane,question text 75,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,ordered pairs,number line,,,
coordinate plane,question text 76,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,ordered pairs,,number line,,,
coordinate plane,question text 77,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,ordered pairs,number line,,,,
coordinate plane,question text 78,question text 2,,high,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,ordered pairs,number line,,,
number line,question text 79,question text 2,,low,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
number line,question text 80,question text 2,,low,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
number line,question text 81,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,exit,exit,,,,
number line,question text 82,question text 2,,medium,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
number line,question text 83,question text 2,,high,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
number line,question text 84,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
ordered pairs,question text 85,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,exit,,exit,,,
ordered pairs,question text 86,question text 2,,low,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
ordered pairs,question text 87,question text 2,,medium,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
ordered pairs,question text 88,question text 2,,medium,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,
ordered pairs,question text 89,question text 2,,high,option 1 - True,option 2 - False,option 3 - ,True,False,,A,B,C,,exit,,,,
ordered pairs,question text 90,question text 2,,high,option 1 - False,option 2 - True,option 3 - ,False,True,,A,B,C,exit,,,,,